image_id,algorithm,W,H,S_raw,S_encoded,CR,saving_percent,bpp,T_enc,T_decode,T_total,PeakRSS,PeakRSS_additional,PSNR,SSIM,lossless_exact
1093,JPEG,512,384,589824,60159,9.804418291527453,89.80051676432291,2.4478759765625,0.0011540429995875456,0.0013635730001624324,0.002517615999749978,258764,0,31.44754355032612,0.9293128724642741,False
1093,Huffman,512,384,589824,580115,1.0167363367608147,1.646084255642366,23.604939778645832,0.06376867200015113,0.13982021399988298,0.2035888860000341,258764,0,inf,1.0,True
1093,LZW,512,384,589824,613141,0.9619712268466797,-3.953213161892366,24.948771158854168,0.005944452000221645,0.0031198350002341613,0.009064287000455806,258764,0,inf,1.0,True
1093,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11362018699992404,1.582786305999889,1.696406492999813,258764,0,34.85661416869498,0.9874784185564415,False
1093,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.12088936200007083,1.4753899819997969,1.5962793439998677,258764,0,32.07810765119501,0.9328828210303776,False
1094,JPEG,512,384,589824,47654,12.377219121165066,91.92064073350694,1.9390462239583333,0.001061518999904365,0.0012158109998381406,0.0022773299997425056,258764,0,32.32145478913542,0.9088297029258795,False
1094,Huffman,512,384,589824,582228,1.0130464354170532,1.287841796875,23.69091796875,0.04356546000008166,0.12024855900017428,0.16381401900025594,258764,0,inf,1.0,True
1094,LZW,512,384,589824,583475,1.0108813573846351,1.076422797309029,23.741658528645832,0.006212979999872914,0.003006256999924517,0.009219236999797431,258764,0,inf,1.0,True
1094,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11184849400024177,1.8458127030003197,1.9576611970005615,258764,0,34.47506972184281,0.9692909106637252,False
1094,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11453942800017103,1.7665366460000769,1.881076074000248,258764,0,31.64224937402245,0.8978077101011168,False
1095,JPEG,512,384,589824,41783,14.116363114185194,92.91602240668404,1.7001546223958333,0.0011504140002216445,0.0011575000003176683,0.002307914000539313,258764,0,33.798716688553874,0.9332084241909389,False
1095,Huffman,512,384,589824,573315,1.0287956882342169,2.798970540364587,23.3282470703125,0.041797738000241225,0.12842410500024926,0.17022184300049048,258764,0,inf,1.0,True
1095,LZW,512,384,589824,564333,1.0451701389073473,4.3217976888020875,22.9627685546875,0.0068533730000126525,0.0029506949999813514,0.009804067999994004,258764,0,inf,1.0,True
1095,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.12130776999993031,1.121150316999774,1.2424580869997044,258764,0,38.65458582738404,0.9928061162726359,False
1095,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.1317589550003504,1.1162850969999454,1.2480440520002958,258764,0,33.39522982809916,0.9073609941263046,False
1096,JPEG,512,384,589824,54458,10.830805391310735,90.76707628038194,2.2159016927083335,0.0011152000001857232,0.0012656809999498364,0.0023808810001355596,258764,0,31.713171709888815,0.9146841942609097,False
1096,Huffman,512,384,589824,580733,1.0156543540663265,1.541307237413192,23.630086263020832,0.04673804799995196,0.130314742000337,0.17705279000028895,258764,0,inf,1.0,True
