timestamp,algorithm,image_id,mode,input_size_bytes,output_size_bytes,compression_ratio,gate_decision,gate_d_hist,gate_d_mean,gate_p_blocks,capture_time_ms,compression_time_ms,total_pipeline_time_ms,cpu_freq_hz,cpu_temp_c,ram_used_mb,energy_mj,psnr_db,ssim,psnr_db_veg,ssim_veg,psnr_db_bg,ssim_bg
1785612298.3447561,algo/jpeg-qveg-qbg,img_0016,TEST,3147269,300585,10.470479232163948,True,0.0,0.0,0.0,0.04363059997558594,10339.104175567627,10359.153985977173,1000000000,49.926,155.50390625,0.0,33.779765136001444,0.8907556920796523,34.087184509556785,0.9011073797884704,33.323966573124075,0.8741293782065586
1785612313.579294,algo/jpeg-qveg-qbg,img_0017,TEST,2929589,270144,10.84454587183132,True,0.0,0.0,0.0,0.0438690185546875,10354.823589324951,10374.698877334595,1000000000,50.464,153.1015625,0.0,34.96488413984135,0.8943957021288438,35.263711361320894,0.8998080296227324,34.41260307600074,0.8834211056238283
1785612329.0257406,algo/jpeg-qveg-qbg,img_0018,TEST,2612122,247813,10.540698026334374,True,0.0,0.0,0.0,0.08153915405273438,10337.195873260498,10356.536149978638,1000000000,50.464,153.7265625,0.0,35.374772625875515,0.8961152635739603,35.00078369808548,0.8926742557915649,36.23642965264481,0.9030531066611904
1785612344.1202152,algo/jpeg-qveg-qbg,img_0019,TEST,2536185,234591,10.811092497154622,True,0.0,0.0,0.0,0.050067901611328125,10379.52995300293,10399.207830429077,1000000000,51.002,151.265625,0.0,35.82246639027944,0.8973272189154553,35.4217003061,0.8923286237130111,36.57361444878419,0.9056092827457536
1785612359.2415166,algo/jpeg-qveg-qbg,img_0020,TEST,2496031,233303,10.698666540936037,True,0.0,0.0,0.0,0.05435943603515625,10345.000982284546,10365.041971206665,1000000000,52.078,151.53515625,0.0,35.753038045069175,0.9040377532441997,35.61079265359136,0.9019761282135085,35.96990591890548,0.9070827464909058
1785612374.3817344,algo/jpeg-qveg-qbg,img_0021,TEST,2584303,247369,10.447157889630471,True,0.0,0.0,0.0,0.049591064453125,10329.583883285522,10349.82442855835,1000000000,51.54,152.43359375,0.0,35.370734270589075,0.8991752942019439,35.636497472018355,0.9021641103855665,34.888231322592645,0.8931862973475769
1785612389.5548728,algo/jpeg-qveg-qbg,img_0022,TEST,2666833,259679,10.269729165623712,True,0.0,0.0,0.0,0.05698204040527344,10348.858118057251,10368.253707885742,1000000000,52.078,154.4453125,0.0,34.89498422859278,0.8938408619023654,35.0333319877219,0.8955448815931347,34.62017852401344,0.8902557530458158
1785612404.7175567,algo/jpeg-qveg-qbg,img_0023,TEST,2527898,239982,10.533698360710387,True,0.0,0.0,0.0,0.0457763671875,10353.261709213257,10374.687194824219,1000000000,52.616,149.15234375,0.0,35.605800262518855,0.8993022120775661,35.72395922083733,0.901008734039228,35.39211942831803,0.8960654800460679
1785612419.7949162,algo/jpeg-qveg-qbg,img_0024,TEST,2423825,240294,10.086914363238366,True,0.0,0.0,0.0,0.04839897155761719,10365.222930908203,10384.528398513794,1000000000,52.616,154.85546875,0.0,36.895004888249176,0.9217443528173219,37.03610156258291,0.9255673378361143,36.30595997305043,0.9043901296403679
1785612434.9265454,algo/jpeg-qveg-qbg,img_0025,TEST,2516941,252001,9.987821476898901,True,0.0,0.0,0.0,0.04696846008300781,10355.752944946289,10374.495267868042,1000000000,52.616,154.35546875,0.0,36.43805505855789,0.918306136442686,36.54444872666755,0.9219575848718216,35.99895410568046,0.9022435678308421
