algorithm,psnr,ssim,edge_preservation,iou,dice_coefficient,precision,recall,compression_ratio,execution_time,cpu_usage,memory_usage_mb,performance_score
MobileNet-Seg,11.377213704509835,0.607044517467559,0.5597645053838407,0.3850002460589557,0.5559569352489014,0.5571381094810806,0.5547807587755584,0.0,0.27350878715515137,102.4,0.0,65.75497070948283
K-Means,24.46361117779604,0.6612680232272926,0.21028880866425992,0.42004677721823047,0.5915956910110692,0.7065641171049833,0.5088055130168453,0.0,0.25601959228515625,101.5,0.0,65.81326802571614
Otsu,15.355974356301179,0.4753690129889763,0.15599070693660802,0.7114711033274956,0.83141468406242,0.8333333333333334,0.8295048494129658,0.0,0.0014679431915283203,674.2,0.0,66.6617735226949
Adaptive Thresholding,12.742212746561476,0.2937645429698647,0.09713430282292558,0.4679124752184448,0.6375209464022209,0.624969352228706,0.6505870342011231,0.0,0.001199960708618164,826.6,0.0,66.66266679763794
Region Growing,8.849952107094122,0.11866924463430344,0.12392502756339581,0.28286040952083985,0.4409839253305678,0.6038966802769394,0.34729453802960697,0.0,0.04181671142578125,119.5,0.0,66.52727762858073
Split and Merge,15.355974356301179,0.4753690129889763,0.15599070693660802,0.7114711033274956,0.83141468406242,0.8333333333333334,0.8295048494129658,0.0,0.014350652694702148,69.6,0.0,76.75216449101767
MobileNet-Seg,100.0,1.0,1.0,0.59783935546875,0.7483097138928149,0.59783935546875,1.0,0.0,0.2612895965576172,99.5,0.0,65.96236801147461
K-Means,25.515691576492685,0.6172455385483325,0.2277196320964161,0.041569476841052985,0.07982084299768055,0.07889577536048571,0.08076786118934318,0.0,0.3564126491546631,101.0,0.0,65.4786245028178
Otsu,12.838219478411574,0.39063193373263033,0.24084103217585218,0.7942625413036948,0.8853359227201956,0.9168169209431345,0.8559450972775242,0.0,0.0015735626220703125,0.0,0.00390625,99.99462458292642
Adaptive Thresholding,11.807915942748533,0.2880627762351616,0.09900270521258125,0.3899515328001277,0.5611009068993227,0.5039307162924969,0.6329027872195785,0.0,0.0016705989837646484,0.0,0.0,99.99443133672078
Region Growing,7.739127062156369,0.06678665018688165,0.11236180904522614,0.03860687626812606,0.0743435791737611,0.08327979441053646,0.0671392962351494,0.0,0.05066680908203125,98.6,0.0,66.96444396972656
Split and Merge,12.838219478411574,0.39063193373263033,0.24084103217585218,0.7942625413036948,0.8853359227201956,0.9168169209431345,0.8559450972775242,0.0,0.014804363250732422,135.0,0.0,66.61731878916423
MobileNet-Seg,7.798764523948667,0.3169504543944326,0.36819021237303784,0.00747674219508019,0.014842510763652844,0.01781101291638341,0.01272215208313101,0.0,0.26106715202331543,99.6,0.0,65.92977615992228
K-Means,24.354404903577738,0.6886599084247808,0.27263223918043067,0.6412788906009245,0.7814380533050441,0.9857883891139061,0.6472628304821151,0.0,0.23092126846313477,99.6,0.0,66.03026243845622
Otsu,15.868398048054688,0.7178050086999015,0.3433457249070632,0.7497920325353544,0.8570070255137077,0.9875421012052104,0.7569517884914464,0.0,0.0013000965118408203,0.0,0.0,99.99566634496053
Adaptive Thresholding,12.001747695097222,0.21666043859830408,0.10770161638862477,0.6566825609925466,0.7927681216118035,0.988318082586279,0.6618195956454122,0.0,0.0020020008087158203,0.0,0.0,99.99332666397095
Region Growing,6.5068576781654075,-0.00035426609793702096,0.029825548677546426,0.00505443234836703,0.010058027079303675,1.0,0.00505443234836703,0.0,0.0025451183319091797,0.0,0.0,99.99151627222697
Split and Merge,15.868398048054688,0.7178050086999015,0.3433457249070632,0.7497920325353544,0.8570070255137077,0.9875421012052104,0.7569517884914464,0.0,0.007462024688720703,133.8,0.00390625,66.64166304270427
MobileNet-Seg,6.49271714390272,0.00030765301093667075,0.0,0.0,0.0,0.0,0.0,0.0,0.2678203582763672,104.5,0.0,65.77393213907878
K-Means,23.86679452769392,0.644120912248513,0.2677141562169512,0.43018342233573253,0.6015779733108217,0.9846241054347056,0.43309283009459104,0.0,0.3088493347167969,100.4,0.0,65.63716888427734
Otsu,16.834493371965753,0.5833553297606952,0.3319816525958918,0.6548883221269032,0.7914592342826187,0.9877832696073859,0.6602359321188699,0.0,0.0013699531555175781,0.0,0.0,99.99543348948161
Adaptive Thresholding,11.602990598476257,0.39479480738031797,0.2294173109560626,0.5419249138317439,0.7029199787492106,0.9851643720146108,0.5463838805691045,0.0,0.0015807151794433594,0.0,0.0,99.99473094940186
Region Growing,7.165949562842165,0.02530506414484951,0.116541670177804,0.1416344946276571,0.248125814863103,0.9655427544657013,0.14235402284521045,0.0,0.02130126953125,93.8,0.0,68.66232910156249
Split and Merge,16.834493371965753,0.5833553297606952,0.3319816525958918,0.6548883221269032,0.7914592342826187,0.9877832696073859,0.6602359321188699,0.0,0.017458677291870117,114.5,0.0,66.60847107569377
MobileNet-Seg,100.0,1.0,1.0,0.9791717529296875,0.989476281156761,0.9791717529296875,1.0,0.0,0.2808504104614258,99.7,0.0,65.83049863179525
K-Means,24.894328785383205,0.5734017554912585,0.21765127959818226,0.5505458363571792,0.7101316497042363,0.9781893004115226,0.5573880690345172,0.0,0.33239316940307617,99.3,0.0,65.79202276865641
Otsu,17.396040132775664,0.6138940466663464,0.1679949992186279,0.6851075633360044,0.8131321444901691,0.9796395046494205,0.695003751875938,0.0,0.0013070106506347656,0.0,0.0,99.99564329783122
Adaptive Thresholding,12.909696660994632,0.3027876589270645,0.07112934194449293,0.6078507098388766,0.7561034194521574,0.9809288759255105,0.615120060030015,0.0,0.0013926029205322266,0.0,0.0,99.99535799026489
Region Growing,8.910719574755458,0.14291338900448894,0.12590639419907712,0.2872194727176518,0.44626340543350784,0.9847393415506109,0.2885036268134067,0.0,0.036126136779785156,110.7,0.0,66.54624621073405
Split and Merge,17.396040132775664,0.6138940466663464,0.1679949992186279,0.6851075633360044,0.8131321444901691,0.9796395046494205,0.695003751875938,0.0,0.009431123733520508,105.9,0.0,66.63522958755493
