timestamp,node_id,image_id,algorithm,profile,psnr_db,ssim,mask_iou,mask_dice,cpu_time_ms,memory_kb,compressed_bytes,compression_ratio
2026-08-30T07:52:18.678712,1,img_0043,ADRES,E,19.889,0.697,0.803,0.8907,3651.435,41588.0,68988.0,13.36
2026-08-30T07:52:28.517523,1,img_0044,ADRES,Q,23.148,0.7982,0.803,0.8907,4428.232,41588.0,112551.0,8.19
2026-08-30T07:52:28.517523,1,img_0044,ADRES,E,19.844,0.6972,0.803,0.8907,3651.555,41588.0,69291.0,13.3
2026-08-30T07:52:35.979482,1,img_0045,ADRES,Q,25.714,0.8615,0.9512,0.975,3198.983,41588.0,81079.0,11.37
2026-08-30T07:52:35.979482,1,img_0045,ADRES,E,20.948,0.7792,0.9512,0.975,2603.561,41588.0,46335.0,19.89
2026-08-30T07:52:43.743131,1,img_0046,ADRES,Q,25.691,0.8612,0.9512,0.975,3319.478,41588.0,82768.0,11.13
2026-08-30T07:52:43.743131,1,img_0046,ADRES,E,20.879,0.7774,0.9512,0.975,2660.997,41588.0,46770.0,19.7
2026-08-30T07:52:51.273559,1,img_0047,ADRES,Q,25.72,0.8618,0.9512,0.975,3241.91,41588.0,82144.0,11.22
2026-08-30T07:52:51.273559,1,img_0047,ADRES,E,20.96,0.7799,0.9512,0.975,2647.158,41588.0,46518.0,19.81
2026-08-30T07:52:58.815251,1,img_0048,ADRES,Q,25.76,0.8618,0.9512,0.975,3272.598,41588.0,81613.0,11.29
2026-08-30T07:52:58.815251,1,img_0048,ADRES,E,20.948,0.7787,0.9512,0.975,2560.58,41588.0,46380.0,19.87
2026-08-30T07:53:04.556435,1,img_0049,ADRES,Q,23.397,0.8204,0.9121,0.954,2207.514,41588.0,52191.0,17.66
2026-08-30T07:53:04.556435,1,img_0049,ADRES,E,18.551,0.748,0.9121,0.954,1899.768,41588.0,32000.0,28.8
2026-08-30T07:53:10.273881,1,img_0050,ADRES,Q,23.371,0.8154,0.9121,0.954,2184.437,41588.0,53024.0,17.38
2026-08-30T07:53:10.273881,1,img_0050,ADRES,E,18.592,0.7412,0.9121,0.954,1890.415,41588.0,32228.0,28.6
2026-08-30T07:53:15.983540,1,img_0051,ADRES,Q,23.461,0.8222,0.9121,0.954,2213.24,41588.0,54642.0,16.87
2026-08-30T07:53:15.983540,1,img_0051,ADRES,E,18.595,0.7519,0.9121,0.954,1858.157,41588.0,33322.0,27.66
2026-08-30T07:53:21.891111,1,img_0052,ADRES,Q,23.444,0.8201,0.9121,0.954,2271.932,41588.0,55829.0,16.51
2026-08-30T07:53:21.891111,1,img_0052,ADRES,E,18.648,0.7489,0.9121,0.954,1971.212,41588.0,33320.0,27.66
2026-08-30T07:53:30.828588,1,img_0053,ADRES,Q,24.412,0.813,0.8899,0.9417,4034.047,41588.0,101377.0,9.09
2026-08-30T07:53:30.828588,1,img_0053,ADRES,E,20.203,0.6948,0.8899,0.9417,3280.632,41588.0,61840.0,14.9
2026-08-30T07:53:39.878827,1,img_0054,ADRES,Q,24.42,0.8127,0.8899,0.9417,4122.441,41588.0,101247.0,9.1
2026-08-30T07:53:39.878827,1,img_0054,ADRES,E,20.263,0.6945,0.8899,0.9417,3249.14,41588.0,61781.0,14.92
2026-08-30T07:53:48.780733,1,img_0055,ADRES,Q,24.394,0.8123,0.8899,0.9417,4070.304,41588.0,101683.0,9.06
2026-08-30T07:53:48.780733,1,img_0055,ADRES,E,20.171,0.6932,0.8899,0.9417,3217.313,41588.0,61856.0,14.9
2026-08-30T07:53:57.621521,1,img_0056,ADRES,Q,24.435,0.8123,0.8899,0.9417,3992.698,41600.0,103264.0,8.92
2026-08-30T07:53:57.621521,1,img_0056,ADRES,E,20.267,0.6942,0.8899,0.9417,3222.672,41600.0,62244.0,14.81
2026-08-30T07:54:05.959642,1,img_0057,ADRES,Q,24.747,0.8323,0.9267,0.9619,3804.186,41600.0,98100.0,9.39
2026-08-30T07:54:05.959642,1,img_0057,ADRES,E,20.189,0.7374,0.9267,0.9619,2944.944,41600.0,56288.0,16.37
2026-08-30T07:54:14.514109,1,img_0058,ADRES,Q,24.716,0.8312,0.9267,0.9619,3867.293,41600.0,97546.0,9.45
2026-08-30T07:54:14.514109,1,img_0058,ADRES,E,20.132,0.7356,0.9267,0.9619,2959.562,41600.0,55971.0,16.47
